ds,yhat,yhat_lower,yhat_upper
2024-03-11,58924.73708367334,53232.587110334534,65028.72235368413
2024-03-12,59126.18911685,53458.96926816534,64512.529724665255
2024-03-13,59472.425012880405,53532.9843971442,65365.63709318134
2024-03-14,59692.10794494442,53859.52021368579,65418.93783617477
2024-03-15,59972.00237117881,54786.21125559699,65748.37721609659
2024-03-16,60266.689083447265,54203.16949990095,65733.50248475472
2024-03-17,60579.642223355935,55056.331464092946,65840.0473706548
2024-03-18,60963.14571192585,55557.46774563298,66655.80987884483
2024-03-19,61194.85243081782,55739.65658859633,66274.5729188637
2024-03-20,61554.15384749111,55724.50867919219,67229.87567551038
2024-03-21,61768.87959688422,56711.447068696674,67073.7272093316
2024-03-22,62025.40945755062,56108.71349325322,67620.42236184324
2024-03-23,62278.39082883593,57002.86161528853,67685.71167565213
2024-03-24,62531.80625884183,56812.14326172432,67958.30973702193
2024-03-25,62838.86891600589,56963.00369002211,68300.4222309764
2024-03-26,62978.5500922636,57621.342522966086,68201.01261477945
2024-03-27,63231.90745954047,57940.05508165083,69081.84654772794
2024-03-28,63328.73486915064,57517.229155519286,68680.84098137138
2024-03-29,63457.617618508135,58234.87883505716,69237.16132191774
2024-03-30,63575.58794420277,57568.87393910875,68857.92218154973
2024-03-31,63689.12706215846,57959.38935423548,69224.70290298072
2024-04-01,63853.993486895946,58582.28307776457,69306.68189347527
2024-04-02,63851.68357378194,58035.30181446899,69778.4363377561
2024-04-03,63965.69482726959,58321.04848743754,69166.07423356688
2024-04-04,63928.114501518845,58393.46496060375,69164.0699957853
2024-04-05,63929.61902331299,58388.59320260771,69503.02222189438
2024-04-06,63929.08042793496,58500.274688315345,70046.9378082788
2024-04-07,63934.52734914819,58559.93596199489,69339.60193618605
2024-04-08,64002.94127366289,58310.35738825358,69406.24336833143
2024-04-09,63916.69471645324,58334.11740361603,69414.25009012579
2024-04-10,63959.80229048764,58474.33955620452,69832.34514873193
2024-04-11,63864.50733793592,57736.5546423846,69524.49324826224
2024-04-12,63821.28950378711,58528.35215746585,69636.33986017061
2024-04-13,63788.48901224901,58164.43732077098,69633.52825685765
2024-04-14,63773.294491660716,57939.76339242257,69501.01994279672
2024-04-15,63831.57412108804,58115.815298705274,69455.16688345684
2024-04-16,63744.35560591434,58142.99819081473,69269.62445512712
2024-04-17,63794.12463053092,57858.30991383532,69710.47780719283
2024-04-18,63711.46299333521,58257.93078143275,69537.92706367883
